100 80
200 162
300 247
400 331
500 412
600 493
700 581
800 665
900 748
1000 833
1100 917
1200 995
1300 1077
1400 1159
1500 1242
1600 1316
1700 1387
1800 1473
1900 1554
2000 1638
2100 1722
2200 1814
2300 1901
2400 1990
2500 2077
2600 2157
2700 2241
2800 2320
2900 2408
3000 2479
3100 2559
3200 2637
3300 2721
3400 2810
3500 2896
3600 2984
3700 3060
3800 3143
3900 3227
4000 3306
4100 3393
4200 3474
4300 3564
4400 3644
4500 3728
4600 3816
4700 3906
4800 3997
4900 4069
5000 4160
5100 4243
5200 4322
5300 4414
5400 4496
5500 4581
5600 4662
5700 4745
5800 4831
5900 4913
6000 4990
6100 5088
6200 5168
6300 5257
6400 5343
6500 5422
6600 5510
6700 5587
6800 5670
6900 5764
7000 5834
7100 5912
7200 5990
7300 6072
7400 6161
7500 6244
7600 6312
7700 6392
7800 6474
7900 6561
8000 6648
8100 6716
8200 6796
8300 6886
8400 6957
8500 7030
8600 7112
8700 7190
8800 7257
8900 7348
9000 7418
9100 7507
9200 7581
9300 7668
9400 7743
9500 7837
9600 7924
9700 7996
9800 8072
9900 8165
10000 8251
